,X,Y
566,172.10416826374717,-192.75963446691955
567,172.62794861380075,-192.3366444618034
568,173.14968261384513,-191.9111329660259
569,173.66934251060277,-191.48309093035706
570,174.18690965520818,-191.05252081627492
571,174.70236090852805,-190.6194199400516
572,175.2156722197577,-190.18378492908957
573,175.72681612747616,-189.74560886554738
574,176.23577094242478,-189.30489202532493
575,176.74251186717865,-188.86163142937497
576,177.2470133161861,-188.4158236275693
577,177.74924930180882,-187.96746516370584
578,178.24919342848756,-187.51655258126576
579,178.7468188869256,-187.06308242938618
580,179.24209844829556,-186.60705126905287
581,179.73500445847677,-186.1484556795211
582,180.22550883232972,-185.6872922649677
583,180.7135830480157,-185.2235576613826
584,181.19919814136665,-184.75724854370344
585,181.6823247003179,-184.28836163320207
586,182.16293002059956,-183.81689082645633
587,182.64098449566697,-183.34283377171488
588,183.1164587166493,-182.8661888125945
589,183.5893214048025,-182.38695293659504
590,184.05953432736447,-181.9051169287636
591,184.52707027828797,-181.42068299097116
592,184.9918950011183,-180.93364698481471
593,185.45397010529692,-180.44400152742864
594,185.9132675903223,-179.9517496801848
595,186.36974353157268,-179.45688024488013
596,186.82337031119044,-178.95939781817236
597,187.27410448442706,-178.4592931202833
598,187.7219125759669,-177.95656666488023
599,188.16675801131515,-177.45121677919104
600,188.60859483850408,-176.94323433225938
601,189.04739018836952,-176.43262239279554
602,189.48310333212174,-175.91937786216423
603,189.91569290935345,-175.40349789605463
604,190.34511488762385,-174.8849782443263
605,190.77132841974614,-174.36381813523968
606,191.19429137676062,-173.8400165121096
607,191.61395986451217,-173.3135717037991
608,192.03028934231077,-172.78448237648325
609,192.44323462128838,-172.2527475518212
610,192.85274986329992,-171.71836662562495
611,193.25878674293133,-171.18133800703458
612,193.6612971925449,-170.64166126461788
613,194.06023509253453,-170.09933833509967
614,194.4555519788558,-169.55437031832514
615,194.847196175842,-169.0067569675197
616,195.23511402529095,-168.45649769655492
617,195.6192603857893,-167.90359891335365
618,195.9995757175624,-167.34805799934801
619,196.3760126534624,-166.78988181073314
620,196.74851185967,-166.2290701408884
621,197.11702496940092,-165.665631191367
622,197.4814862946196,-165.09956293710627
623,197.84184779094963,-164.5308759709336
624,198.19805082259992,-163.95957513026147
625,198.55003173938994,-163.38566341907497
626,198.89773468056356,-162.80914990718907
627,199.24110030068758,-162.23004269213723
628,199.58006726598592,-161.64834993081342
629,199.91457360056881,-161.06408069318908
630,200.24455670605295,-160.47724499485156
631,200.56995338293257,-159.88785382978526
632,200.89069985375212,-159.29591920333516
633,201.20673178813516,-158.70145416529203
634,201.51798187041527,-158.1044715732547
635,201.82438191964812,-157.5049853080233
636,202.1258698881,-156.90301378201585
637,202.42237730243835,-156.29857352055913
638,202.71382963700034,-155.69167965818144
639,203.0001682838409,-155.08235646210352
640,203.281310708874,-154.47061839501634
641,203.5571991858093,-153.85649299094368
642,203.82775420043873,-153.2399993567543
643,204.09290800167173,-152.6211635067415
644,204.35259096311873,-152.00001211264868
645,204.60672961379348,-151.37657181213407
646,204.85524673368732,-150.75086944813077
647,205.09807463107973,-150.12293733091812
648,205.33513995043862,-149.49280710631874
649,205.5663694059861,-148.86051212470113
650,205.7916898533959,-148.22608746855494
651,206.01102836424678,-147.58956997799237
652,206.22431117647594,-146.9509979036259
653,206.43146167516898,-146.3104103183565
654,206.63241188036193,-145.66785081467862
655,206.82709051326395,-145.0233635186598
656,207.01542037207426,-144.3769925301218
657,207.19733147490535,-143.7287858728435
658,207.37275626246566,-143.0787938666374
659,207.54161680428703,-142.4270657629894
660,207.70385078360658,-141.7736566499485
661,207.8593853371956,-141.1186205545603
662,208.00815114133303,-140.46201416796802
663,208.15008630915673,-139.80389749524662
664,208.28512384885147,-139.14433098678194
665,208.41319268263769,-138.48337604593158
666,208.5342362561632,-137.82109858939424
667,208.64819257358187,-137.15756496897487
668,208.75500151953165,-136.4928434509038
669,208.85460497438484,-135.82700417354465
670,208.94694692845937,-135.16011909942995
671,209.03197359476488,-134.49226196159663
672,209.1096335198623,-133.82350820423048
673,209.17987701588098,-133.15393485047255
674,209.24265185480502,-132.48362008029378
675,209.29791935287807,-131.8126446689918
676,209.34563848224803,-131.14109024590073
677,209.38576652745553,-130.46903952473835
678,209.4182651648201,-129.7965767213629
679,209.44310863249305,-129.12378763427776
680,209.4602557205233,-128.45075843853945
681,209.4696893054689,-127.77757696822198
682,209.47137710605062,-127.10433154025212
683,209.46530630540641,-126.43111138117936
684,209.4514496951593,-125.7580064811571
685,209.4298040165249,-125.08510704201363
686,209.40034932620696,-124.41250418415578
687,209.36308364875939,-123.74028887647397
688,209.3180060750016,-123.06855219564807
689,209.2651098082486,-122.39738593751977
690,209.20440244942048,-121.72688108817462
691,209.13589380592254,-121.05712837466919
692,209.05959465511683,-120.38821836650024
693,208.97551532144874,-119.72024168687201
694,208.88367674437194,-119.05328753083576
695,208.784102980877,-118.38744428023296
696,208.67681960984888,-117.72279966535531
697,208.56185582307495,-117.05944037707677
698,208.43924436866232,-116.39745193889611
699,208.3090204615538,-115.73691879103536
700,208.17122259901257,-115.07792404129636
701,208.0258962613724,-114.42054849929096
702,207.87308765775958,-113.76487182283607
703,207.7128461570484,-113.11097193109346
704,207.54522418834884,-112.45892490599526
705,207.37027713587656,-111.80880489977888
706,207.1880632287196,-111.160684048871
707,206.99864342603823,-110.51463239431999
708,206.80208129822512,-109.87071780893335
709,206.59844290458278,-109.2290059312376
710,206.3877966680563,-108.58956010633239
711,206.17021207636137,-107.9524417407879
712,205.9457619438022,-107.31770946828709
713,205.71452204346673,-106.68541912518135
714,205.47656894143705,-106.05562444035037
715,205.2319809179593,-105.42837665690692
716,204.98083783567745,-104.80372451370961
717,204.7232210085021,-104.18171423325775
718,204.45921307156482,-103.56238951576638
719,204.18889785266634,-102.94579153920033
